latitude,longitude,hhid,wilcah,geometry,distance_to_hospital_km,distance_to_clinic_km
0.543218,123.0847824,40710,407,POINT (123.08478239999997 0.5432180000000001),2.6335534590667025,1.0367008151909365
-6.7763719,108.5845169,20405,204,POINT (108.58451689999998 -6.7763719),6.213436598773386,3.4846845403992357
-0.021255,109.331857,32502,325,POINT (109.331857 -0.021255),16.291134859300254,6.534616795451132
-0.0212519,109.3319909,32505,325,POINT (109.33199089999998 -0.0212519),16.283370664716976,6.5280776046476365
-5.2829,105.369805,12202,122,POINT (105.36980499999999 -5.282899999999999),14.691350635481761,10.105062043892516
-5.282969,105.3704525,12203,122,POINT (105.3704525 -5.282969),14.731836542898161,10.168474581445928
-5.2834525,105.3700711,12210,122,POINT (105.3700711 -5.283452500000001),14.663146250634084,10.108458168124509
-5.2830136,105.3709775,12204,122,POINT (105.3709775 -5.283013600000001),14.765809187203391,10.220466618620126
-5.2828743,105.3696622,12209,122,POINT (105.36966219999998 -5.2828743),14.683354176323357,10.091551760153441
-7.7543351,111.6147082,26807,268,POINT (111.6147082 -7.7543351),7.296771144965864,7.463672349779471
-7.7543987,111.6145747,26803,268,POINT (111.61457469999999 -7.7543987),7.304240085223726,7.459947885659922
-7.756381,111.6175693,26809,268,POINT (111.61756929999999 -7.756380999999999),7.526862361546037,7.839727625877511
-2.5219083,140.715525,48703,487,POINT (140.715525 -2.5219083),1.5385240851897395,22.63023425242144
-2.5223982,140.7160717,48704,487,POINT (140.7160717 -2.5223982),1.5140163241563693,22.677940408571867
-2.5223567,140.71595,48706,487,POINT (140.71594999999996 -2.5223566999999996),1.512320978771557,22.66569336772626
-2.5215983,140.715,48710,487,POINT (140.71499999999997 -2.5215983000000004),1.5489607546563495,22.580695190726956
-2.5220736,140.7158413,48701,487,POINT (140.71584129999997 -2.5220735999999997),1.5358301953598494,22.6606409553214
-2.5226982,140.7159696,48705,487,POINT (140.71596959999997 -2.5226982),1.4789889388018234,22.659721252709605
-2.5216663,140.7151634,48709,487,POINT (140.7151634 -2.5216663),1.5483585045352275,22.596794581692464
-0.9223829,100.3745153,4004,40,POINT (100.3745153 -0.9223829),0.8273397055718531,8.437152308412307
-0.9231688,100.3754336,4008,40,POINT (100.3754336 -0.9231687999999998),0.9447857566228774,8.310503507853285
-0.9226399,100.3747834,4009,40,POINT (100.3747834 -0.9226399000000002),0.8616760380720022,8.39905832204161
-0.9228826,100.3753002,4001,40,POINT (100.3753002 -0.9228826),0.9233627248207521,8.335678528722477
-0.922617,100.3758638,4003,40,POINT (100.3758638 -0.9226170000000001),0.9796902877796322,8.287707353715103
-6.7762453,108.5845765,20410,204,POINT (108.5845765 -6.7762453),6.210259311170621,3.4833359899278404
-6.7761831,108.5842847,20407,204,POINT (108.58428470000001 -6.776183099999999),6.180060142947607,3.4517094033380276
-6.8285785,108.7064615,20603,206,POINT (108.7064615 -6.8285785),7.161586597017285,14.188812259931312
-6.8286885,108.706627,20610,206,POINT (108.70662699999998 -6.828688499999999),7.177048502276924,14.20262710371655
-0.0213622,109.3320393,32503,325,POINT (109.3320393 -0.0213622),16.270127034693935,6.514695319104847
-0.0216552,109.3327955,32507,325,POINT (109.33279549999999 -0.0216552),16.197295752061624,6.4473923620917
-0.0223627,109.3328646,32508,325,POINT (109.3328646 -0.0223627),16.12678169452804,6.3736678501262185
