latitude,longitude,hhid,wilcah,geometry,count_electric_power_plant_within_1km,count_refinery_within_1km,count_port_within_1km,count_oil_n_gas_within_1km,count_other_within_1km,count_mine_within_1km,count_mineral_processing_plant_within_1km,count_smelting_plant_within_1km,count_electric_power_plant_within_3km,count_refinery_within_3km,count_port_within_3km,count_oil_n_gas_within_3km,count_other_within_3km,count_mine_within_3km,count_mineral_processing_plant_within_3km,count_smelting_plant_within_3km,count_electric_power_plant_within_5km,count_refinery_within_5km,count_port_within_5km,count_oil_n_gas_within_5km,count_other_within_5km,count_mine_within_5km,count_mineral_processing_plant_within_5km,count_smelting_plant_within_5km,count_electric_power_plant_within_10km,count_refinery_within_10km,count_port_within_10km,count_oil_n_gas_within_10km,count_other_within_10km,count_mine_within_10km,count_mineral_processing_plant_within_10km,count_smelting_plant_within_10km,distance_to_closest_electric_power_plant_km,distance_to_closest_refinery_km,distance_to_closest_port_km,distance_to_closest_oil_n_gas_km,distance_to_closest_other_km,distance_to_closest_mine_km,distance_to_closest_mineral_processing_plant_km,distance_to_closest_smelting_plant_km
0.543218,123.0847824,40710,407,POINT (123.08478239999997 0.5432180000000001),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,208.9943181914304,206.92681414535826,4.502337152282087,4.502337152282087,14.25064534124917,131.887851471771,389.47969992658506,339.163116771264
-6.7763719,108.5845169,20405,204,POINT (108.58451689999998 -6.7763719),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,3.484193915629472,114.12979090432907,7.26799594869778,49.413499434213534,67.70879431722447,224.832772986157,21.817396650383635,245.22489165730204
-0.021255,109.331857,32502,325,POINT (109.331857 -0.021255),0,0,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,0,0,0,0,136.3467418696271,702.1261867798365,0.5356428751179309,0.5356428751179309,42.24807580954312,11.265127909194996,90.31162310149209,148.96457829605825
-0.0212519,109.3319909,32505,325,POINT (109.33199089999998 -0.0212519),0,0,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,0,0,0,0,136.3318348919349,702.1301540481714,0.5269627962776597,0.5269627962776597,42.236613192253046,11.275474186669731,90.2967513089341,148.94967519036769
-5.2829,105.369805,12202,122,POINT (105.36980499999999 -5.282899999999999),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.28471007900217,66.08808636727288,21.455093683271926,21.455093683271926,22.861628107184814,107.12433161144142,20.635196641778098,108.04306527161917
-5.282969,105.3704525,12203,122,POINT (105.3704525 -5.282969),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.35653534440756,66.01658498691279,21.466772183274774,21.466772183274774,22.912808908202354,107.19637677958049,20.64873904499365,107.98912261710606
-5.2834525,105.3700711,12210,122,POINT (105.3700711 -5.283452500000001),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.31254665838264,66.04298222394384,21.403367262835353,21.403367262835353,22.84582508851835,107.1537005908116,20.584661110699443,107.97734075638765
-5.2830136,105.3709775,12204,122,POINT (105.3709775 -5.283013600000001),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.41480946401498,65.95895359334627,21.47763771563093,21.47763771563093,22.95518613911347,107.25479761692394,20.661111700382286,107.94634475098081
-5.2828743,105.3696622,12209,122,POINT (105.36966219999998 -5.2828743),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.26890394000351,66.1041703545876,21.45368090130938,21.45368090130938,22.85109484664818,107.10844797446605,20.633365363649013,108.05583571041011
-7.7543351,111.6147082,26807,268,POINT (111.6147082 -7.7543351),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.64942053781496,462.7509551879411,126.00533792915952,64.92266914088158,46.07866037947927,573.4315917901165,109.47730949992037,131.23319073866026
