latitude,longitude,hhid,wilcah,distance_to_road_m
0.543218,123.0847824,40710,407,15.131362979984802
-6.7763719,108.5845169,20405,204,9.53253367467327
-0.021255,109.331857,32502,325,1.2352310492958125
-0.0212519,109.3319909,32505,325,8.785613334950538
-5.2829,105.369805,12202,122,22.533979862051737
-5.282969,105.3704525,12203,122,53.07921519912221
-5.2834525,105.3700711,12210,122,15.124379831300574
-5.2830136,105.3709775,12204,122,78.38582888775744
-5.2828743,105.3696622,12209,122,17.752057221131704
-7.7543351,111.6147082,26807,268,2.228355267676224
-7.7543987,111.6145747,26803,268,11.899149337557475
-7.756381,111.6175693,26809,268,6.3190489160353325
-2.5219083,140.715525,48703,487,16.824975292455488
-2.5223982,140.7160717,48704,487,24.754806790315975
-2.5223567,140.71595,48706,487,10.439792364569996
-2.5215983,140.715,48710,487,6.37619080406666
-2.5220736,140.7158413,48701,487,1.970634296456101
-2.5226982,140.7159696,48705,487,18.229061152250022
-2.5216663,140.7151634,48709,487,2.3807934681324863
-0.9223829,100.3745153,4004,40,15.220326733181142
-0.9231688,100.3754336,4008,40,5.89448889862616
-0.9226399,100.3747834,4009,40,1.023577527210411
-0.9228826,100.3753002,4001,40,26.658857502854648
-0.922617,100.3758638,4003,40,22.47404765927273
-6.7762453,108.5845765,20410,204,2.709868685266756
-6.7761831,108.5842847,20407,204,27.556421730600167
-6.8285785,108.7064615,20603,206,33.16377227098236
-6.8286885,108.706627,20610,206,26.55713786228845
-0.0213622,109.3320393,32503,325,21.39647524872572
-0.0216552,109.3327955,32507,325,35.177161564752865
-0.0223627,109.3328646,32508,325,4.736832715650563
-0.0215029,109.3321569,32501,325,30.054657685903315
-0.0214012,109.3320863,32504,325,28.14792509743145
0.7620649,127.3701114,46306,463,2.412044840770743
0.7617257,127.3701583,46307,463,19.477993133624246
0.7634703,127.3701657,46308,463,2.706614191266488
-6.7784117,108.5847244,20404,204,140.02939923075695
-6.7764289,108.5843021,20401,204,33.526767521131035
-5.283851,105.3720626,12206,122,16.434391928402743
-5.2844327,105.3719174,12208,122,48.20032609580929
-2.5221198,140.7157905,48707,487,4.9492814767832565
-2.5218537,140.7155781,48702,487,10.202585948503957
-2.5224543,140.7155965,48708,487,23.701080836939436
-6.18343,106.8522447,14807,148,11.399909578702466
-6.1836523,106.8519331,14809,148,19.20721160175999
-6.1836893,106.8520983,14808,148,20.153045949887325
-6.1834789,106.8521899,14804,148,4.799554530740622
-6.1835099,106.8522587,14805,148,3.1170932793859154
-6.1837649,106.8521341,14806,148,19.72793950073051
0.5514203,123.0953715,40507,405,16.79021396736013
0.5515253,123.095959,40508,405,10.220001185473064
-8.4357619,115.125479,28503,285,1.577110820078164
-8.4360033,115.1258674,28502,285,3.461107113904008
-8.4343254,115.12616,28509,285,33.33856182735751
-8.4881077,115.0379376,28608,286,44.7972749221031
-8.4880475,115.03742,28609,286,12.853736382630595
-8.4891819,115.0375105,28606,286,12.956524841184372
-7.7537451,111.6151078,26805,268,82.05147758835503
-7.753858,111.6148649,26806,268,56.61158836387907
-7.7539135,111.6137704,26810,268,21.68378567972841
-7.7540166,111.6145449,26808,268,22.17021888369641
0.763345,127.370137,46310,463,14.652112210440999
0.7731442,127.3756444,46401,464,2.140263152648188
-6.8273317,108.7746317,20303,203,10.909702249943681
-6.7766689,108.5845814,20402,204,6.327707296030987
-6.7762494,108.5845972,20403,204,0.4118669196412831
-6.8285071,108.7733734,20308,203,43.849475139068716
0.772667,127.3755225,46406,464,5.550910114327878
-6.8284823,108.7066651,20605,206,31.92568676548576
-6.8265946,108.7062738,20604,206,22.256550781922453
-3.3143212,114.5814429,35301,353,5.934416976129286
-3.3137735,114.5814978,35305,353,0.9786765656683434
-3.314557,114.5809417,35306,353,12.674850320417255
-5.2829463,105.3702066,12201,122,41.1434277733086
-5.2838552,105.3716114,12205,122,14.322502495075229
-5.2842788,105.3721726,12207,122,31.66487147776469
-5.4329086,105.2647564,13304,133,9.605444380993898
-5.4327851,105.2649404,13306,133,33.21808673283157
-0.0317518,109.3501968,32706,327,11.4275256834374
-0.0317389,109.3496953,32704,327,27.897722985809573
-0.0319196,109.3496179,32708,327,11.401288743069797
-3.3331123,114.5751966,35208,352,6.919716348709958
-5.4327651,105.2647439,13303,133,21.21554946802346
-5.4325901,105.2642919,13310,133,6.064506547044707
0.7618778,127.3702503,46309,463,1.4700459350955144
0.7731555,127.3754017,46407,464,0.5763599231291578
0.7616378,127.3703247,46301,463,8.572123972363073
0.7625318,127.3710715,46302,463,8.978286471500102
0.7636995,127.369693,46303,463,17.55286866473074
0.7731006,127.3755764,46405,464,11.037618887278157
0.7730058,127.3755245,46402,464,19.95981745265444
0.7729521,127.3750789,46403,464,12.957362240434636
0.7729398,127.375781,46404,464,6.605136870279832
0.8077473,127.3751236,46102,461,4.997900971732417
0.8084364,127.3750841,46103,461,7.093281657223287
0.8076391,127.3752279,46104,461,5.42497925281422
0.8074604,127.3751132,46105,461,0.2736991520184373
0.7619995,127.3706387,46305,463,15.141154390566268
0.7620282,127.3701863,46304,463,2.1442945821382358
0.5719595,123.0919245,40609,406,10.880138504292152
-8.4355436,115.1303479,28504,285,9.128587742531476
-8.4358563,115.1257032,28505,285,2.461403865673228
-8.4347867,115.1261556,28507,285,2.096838036302864
-8.4346508,115.1260319,28510,285,8.302116770443126
0.772606,127.3750858,46408,464,3.4773423911408585
-8.4356751,115.1303233,28501,285,1.9421239668686465
-8.435776,115.1258324,28506,285,17.5598398651348
-8.4343741,115.1260458,28508,285,33.327006501832244
-8.4923437,115.0363803,28601,286,37.630299468795684
-8.488028,115.0379202,28602,286,40.8722013332046
-8.4879637,115.0377436,28603,286,20.082812946284427
-6.1527977,106.8542575,15309,153,26.32067862511171
-6.1533112,106.8537278,15310,153,10.827060270304866
-6.1527773,106.854279,15307,153,23.141148518750974
0.5703511,123.0918149,40610,406,7.990414751959952
0.7730351,127.3752957,46410,464,2.923945316054788
0.807796,127.3721069,46109,461,3.9718023369690365
0.8084348,127.3748875,46108,461,22.43569416836381
-4.6068976,136.8662331,48205,482,5.618959390751827
-4.6062366,136.8639428,48204,482,7.79188500438482
0.7728317,127.3760419,46409,464,7.0426914340746745
-5.433085,105.2647551,13309,133,5.847967823463007
-5.4325509,105.264748,13305,133,40.1374006329868
-7.7535221,111.6147357,26801,268,80.11806223398196
-7.753537,111.6156377,26802,268,136.17698562848008
-7.7534398,111.6145342,26804,268,74.22769103570754
-6.8282613,108.7742135,20304,203,5.007946356953421
-6.8292083,108.7078615,20602,206,28.2946136546631
-6.7769358,108.584182,20406,204,7.483909202261948
-6.1835489,106.8517124,14801,148,22.280641525415856
-6.1836655,106.8520877,14802,148,17.728425546541185
-6.1837681,106.852156,14803,148,19.802182917783025
-6.8284116,108.7742348,20306,203,2.4012535555436285
-6.8279391,108.7744036,20301,203,4.242185966657461
-6.1533901,106.8537492,15304,153,9.832466074614015
-6.1534048,106.8535304,15303,153,34.15800077443169
-6.153501,106.8544926,15308,153,11.951461632700543
-0.7966797,100.6569198,4101,41,3.657513556782234
-0.7972948,100.6575275,4104,41,13.530330201699796
-0.8082433,100.6565167,4106,41,14.306240808152156
-0.7965983,100.657922,4109,41,4.460325510373949
-0.7966546,100.6576333,4110,41,0.4484943687057011
0.8077758,127.3751004,46106,461,7.269780183847498
-5.4328959,105.264704,13301,133,7.045658221880824
-5.4330539,105.2650527,13307,133,9.52565869683144
-6.1835584,106.8520732,14810,148,6.187318658495983
-6.1536698,106.8541121,15302,153,22.171748239094832
3.5192762,98.6305833,2810,28,0.9464243315775596
3.5194844,98.6323258,2804,28,0.7167419597579018
-4.6065161,136.8640869,48203,482,11.47182662995384
-4.606122,136.8640977,48206,482,7.995628624211746
0.8078267,127.3751685,46107,461,0.7668068991158005
3.519989,98.6322851,2805,28,0.8732911847919869
-8.4921097,115.036576,28604,286,24.350817599459862
-8.4921072,115.0365922,28607,286,22.704826137226842
-8.4882253,115.0377162,28605,286,23.804475515963446
3.5194919,98.6306401,2806,28,9.611818237502657
-6.8284821,108.7065612,20601,206,42.5334434377357
-6.8284581,108.706634,20607,206,36.18437581419691
-6.8283081,108.7742349,20302,203,1.1360097438520982
-6.8281111,108.7743414,20307,203,3.4722986716533257
-6.8281353,108.7742979,20310,203,0.323194229934297
-6.8294906,108.7080382,20609,206,43.36059551217088
-6.1767308,106.8487576,15209,152,17.980664267117092
-6.1768939,106.8485723,15210,152,1.2113644761798528
-6.1759763,106.8487732,15208,152,0.23892250860017836
-6.1767127,106.8483769,15202,152,9.381245031716372
-6.1769076,106.8484398,15203,152,15.803576513031611
-6.1771257,106.848729,15201,152,6.653681001781486
-8.488198,115.0377219,28610,286,23.72402896398243
-3.3135257,114.5815778,35303,353,0.44874802959531584
-3.3138643,114.5812422,35309,353,6.786897147837193
-3.3138333,114.5819448,35310,353,7.482476739116065
-3.3148225,114.580864,35304,353,34.593350146727055
-3.3328627,114.5753067,35207,352,0.7916401622750407
-3.3333756,114.5753323,35209,352,23.2874134537316
-3.3333953,114.5750044,35210,352,1.3650336044999618
-7.8192262,112.0062496,27503,275,16.61493567552966
-7.8191495,112.0063955,27502,275,10.39741530207452
-3.3139196,114.5814684,35302,353,3.632406052332674
-6.1530402,106.8538696,15306,153,9.472955966345934
-5.4326617,105.2646799,13302,133,25.73527891888057
-5.4327906,105.2647183,13308,133,17.206710448286525
-3.3138028,114.5813934,35307,353,0.6701916283058711
-3.3145775,114.580745,35308,353,18.08689360592883
-7.8197155,112.0063066,27501,275,9.465201343319022
-0.002116,109.2894884,32603,326,17.037348862448294
-0.0316356,109.3498593,32703,327,26.682994272633888
-0.0317709,109.3498135,32705,327,31.96778345803174
-0.0316978,109.3502778,32709,327,7.168260217682507
-0.0316265,109.349838,32710,327,28.45280666355377
-0.0022182,109.2897332,32601,326,5.915102180547653
-0.0020611,109.2900194,32602,326,8.239779968966804
-0.002427,109.2895743,32605,326,11.430653118483246
-0.0018731,109.2898278,32604,326,13.6704565515723
-0.0027048,109.2897083,32606,326,3.9382506540611852
-6.1808301,106.8732529,15104,151,21.73824738964821
-6.1807043,106.873317,15106,151,6.898806864815614
-6.1807409,106.8736493,15107,151,5.243833408124711
-6.1767064,106.8483753,15204,152,8.708621993594411
-6.1529395,106.8536466,15305,153,12.050882746990068
-6.1768992,106.8483451,15205,152,26.38643867543529
-6.1531588,106.8542908,15301,153,14.132595873048109
-8.5274579,115.2140418,28910,289,59.01380522000416
-6.1769011,106.8485571,15207,152,2.8378283288735235
3.5193563,98.6305944,2801,28,5.842630494694768
3.5193499,98.631803,2808,28,13.568320102173182
3.5195639,98.6322259,2807,28,3.14107401797971
3.5192391,98.6300252,2809,28,7.038985378435754
0.8079485,127.3747676,46101,461,8.246322128066705
-3.3232464,114.637072,35005,350,8.381187658862332
-3.3216189,114.6341437,35001,350,3.2723744268177817
-3.3231787,114.6371349,35002,350,0.9478462934279108
-3.3232765,114.6373421,35008,350,2.3792301456345375
-3.3331402,114.5750491,35201,352,2.917081035280186
-3.3328711,114.5750653,35202,352,21.817514883472622
-3.3333859,114.5747802,35203,352,19.457003300263633
-4.6067098,136.8681461,48208,482,10.76828847119604
-4.6065424,136.8637596,48201,482,24.445460534789525
-4.6062253,136.863916,48202,482,10.892344265703398
-4.6096158,136.8712255,48210,482,0.28932304568720474
-6.8507764,108.5593403,20501,205,25.400773402156563
-6.8503961,108.5593661,20504,205,17.643512582983657
-6.8509001,108.559125,20506,205,17.504617141510455
-6.8508649,108.5591263,20510,205,20.96190670775961
-3.3053422,114.6092322,35108,351,29.331651658688187
-1.6381684,103.5744115,7705,77,7.635322296309774
-1.637668,103.5740272,7704,77,1.9681275702746426
-1.6366093,103.5463249,7803,78,4.9285498575756
-1.6370778,103.5464685,7807,78,7.085745894834449
-1.6361619,103.546119,7810,78,5.104266293947155
-8.5274676,115.2107144,28907,289,58.722299615007806
-8.5267521,115.2143592,28908,289,63.81528583485444
-8.5269677,115.214319,28909,289,88.4865781642286
-4.6071934,136.867925,48207,482,16.102288505902617
-4.6080873,136.8675227,48209,482,16.624724150684603
-5.4476532,105.2606135,13102,131,54.557352194357584
-5.4476755,105.260489,13104,131,40.51330963459775
-5.4476605,105.2603768,13106,131,28.832687347456137
-7.8192266,112.006944,27508,275,13.329605947689979
-7.8178909,112.0149673,27606,276,21.108956314257966
-7.8202698,112.0068034,27509,275,7.7673794060674455
-3.3329832,114.5750244,35204,352,17.00958189346857
-3.3061627,114.6095401,35105,351,42.17391182776468
-3.3219506,114.6348854,35006,350,2.992397648208046
-3.3232999,114.6369174,35007,350,19.893452920888105
-3.3216583,114.6341817,35004,350,6.947311931636768
-3.3053437,114.6173951,35104,351,6.8799766557705775
-3.3332493,114.5750479,35205,352,6.359865497615425
-0.022787,109.2803978,32408,324,7.448809671774469
-0.0216661,109.2800625,32402,324,7.306518819686525
-0.0214636,109.2803362,32403,324,22.885305965089238
-0.0226021,109.2803326,32401,324,7.685992312488453
0.5422673,123.0849746,40707,407,15.076077230796065
0.5429605,123.0847938,40708,407,11.93881144586326
0.5424066,123.0856879,40705,407,12.472173460893185
0.5430067,123.0885067,40702,407,0.48860065801561814
-0.9230182,100.3757289,4002,40,9.818055193602065
-0.9225424,100.3758238,4005,40,23.403698959431562
-0.9221998,100.3756953,4006,40,9.899814882832185
-0.9232025,100.3755527,4007,40,0.8084681650714195
-0.9229583,100.3756442,4010,40,1.7094000900426813
-6.1713741,106.8533242,15008,150,8.251451599132409
-6.1710599,106.8543439,15005,150,4.260217656338127
-4.8403074,120.3101201,41701,417,2.037884944274963
-4.6987208,120.2857637,41805,418,33.80367024904782
-4.842416,120.3133409,41707,417,8.17168199782956
-4.8423103,120.3134521,41710,417,17.25442797549119
-4.6993925,120.2837723,41801,418,34.323697648348485
-5.9556463,120.4890891,41010,410,2.874507838330288
-4.6988606,120.2843834,41806,418,61.154960090641254
-4.6991878,120.284765,41808,418,11.473141371143905
-6.1715669,106.8541766,15004,150,18.152516997166355
-6.1769876,106.848577,15206,152,0.30476664813929844
-5.9555272,120.4916104,41007,410,3.8138469760203098
-5.9552336,120.4914732,41003,410,32.17425615373913
-5.9557889,120.4905236,41002,410,7.455326437496353
-3.3054534,114.6173407,35109,351,2.074564072205953
-3.3052771,114.617534,35106,351,10.898810609037007
-4.8417062,120.3111668,41709,417,4.303000019867664
-4.8423039,120.3120464,41708,417,0.9625772499172818
-4.8433014,120.311671,41704,417,3.3858326494811988
-4.6985521,120.2845625,41804,418,85.77677575858581
-4.6989272,120.2840105,41810,418,69.94199794072624
-4.6986498,120.2865349,41809,418,3.1130764622919243
-5.9555782,120.4892717,41008,410,5.811013446967601
-5.9549927,120.4919444,41006,410,13.751088457096893
-5.954994,120.4919444,41004,410,13.64797082443771
-4.510474,136.8487708,48306,483,9.156021591569361
-4.5107012,136.8489161,48305,483,2.665272084901181
-7.8183271,112.0147834,27604,276,34.25941692844373
-7.819091,112.0150758,27605,276,6.4452667211051935
-7.8195754,112.0150193,27608,276,16.398608357250655
0.8075544,127.3757553,46110,461,6.333248077731552
-1.6384881,103.5751379,7706,77,13.596019559285097
-1.6389077,103.5756138,7710,77,6.194383708111458
-1.6385882,103.5751937,7709,77,3.159606865203691
-8.5275753,115.2110156,28904,289,25.07855888225723
-8.5273439,115.2131163,28905,289,29.099571592075915
-8.5288343,115.2123302,28906,289,28.146927920538822
-6.8291847,108.707707,20606,206,22.8833465253109
-6.7765409,108.5845387,20408,204,7.510434527803536
-5.4474013,105.2603139,13110,131,30.844634984400482
-5.4304231,105.2476402,13505,135,7.6458282520023
-8.7719434,115.1749331,28710,287,8.1903504329719
0.550098,123.0663787,40809,408,7.400094712288783
-5.4477395,105.2606952,13103,131,51.7407364600473
-5.4477351,105.260413,13107,131,30.661477408570708
-5.447605,105.26051,13108,131,44.737979284488425
-5.448,105.2604783,13109,131,30.25551344050177
-6.180859,106.8732216,15109,151,24.855056458677762
-6.180608,106.8730165,15108,151,1.9431363115140605
-6.1809568,106.8741322,15110,151,11.659550556026462
-6.1805793,106.8730172,15103,151,2.36205241477889
-6.1812714,106.8735933,15101,151,11.242595459872726
-6.1807318,106.8735691,15102,151,6.014866901563248
-6.1807199,106.8734934,15105,151,5.9714389751214565
0.8583267,127.3372315,46206,462,21.957757828691026
-6.8283789,108.7742357,20305,203,1.375724507734804
-6.8294656,108.7083003,20608,206,56.41340278398667
0.882478,127.3150718,46502,465,3.66750579232057
0.8833527,127.3230891,46503,465,28.991815656724448
0.8579557,127.3369376,46202,462,8.304434014484286
0.8581262,127.3370678,46203,462,23.847186044277716
0.8575155,127.3372587,46208,462,47.97462896215218
-5.4476724,105.2605752,13105,131,49.89384285825298
0.8581187,127.3370861,46209,462,25.830187371738713
0.857961,127.3366569,46204,462,22.921240479017328
0.8576369,127.336493,46205,462,16.301514129254425
0.8580605,127.3370112,46201,462,17.116263017751102
0.8574768,127.3375182,46207,462,77.1136067684351
0.5496944,123.0993703,40510,405,1.5587117220143647
0.550155,123.0982277,40501,405,13.812634641163397
0.55002,123.099198,40505,405,28.928665751461367
0.5496913,123.0998017,40503,405,10.91397038185526
0.8826569,127.3152793,46509,465,17.665611583290445
0.8826283,127.321965,46501,465,2.5084618171949
0.8823772,127.3154568,46510,465,15.452745446160462
-0.0225151,109.2803454,32407,324,2.804690991640952
-0.0229843,109.2805313,32409,324,0.29569943727965214
-0.0216033,109.2806367,32410,324,12.666533545728416
-4.5103645,136.8486679,48301,483,2.7871930632900175
-4.5106119,136.8490182,48309,483,8.247475584365972
-4.5099136,136.8488571,48307,483,16.206556774938228
0.5492858,123.0664185,40810,408,4.522934155510214
0.883638,127.323164,46508,465,56.53223900011859
0.8826048,127.3152293,46504,465,18.776911577585604
0.8834819,127.3147836,46506,465,21.854080254987156
0.883053,127.3227433,46505,465,10.373359683681686
-1.6389662,103.5757013,7708,77,16.26654753166089
-1.6394778,103.5753472,7701,77,4.968039607681404
-1.6387237,103.5748721,7703,77,5.542582561721532
-1.6388444,103.5476593,7801,78,8.531916677459408
-1.6371468,103.546771,7805,78,16.009143212311493
